transectsite,%sa,%rb,%dc,%mcap,%pcom,%mol,%cca,transect,site
1_HE,0,10.71,39.29,0,42.86,0,7.14,1,HE
1_PLF,0,54.72,32.08,0,13.21,0,0,1,PLF
1_R10,0,4,48,0,48,0,0,1,R10
1_R18,0,16.67,41.67,0,41.67,0,0,1,R18
1_R25,0,4.55,27.27,0,59.09,0,9.09,1,R25
1_R29,0,3.57,0,0,78.57,0,17.86,1,R29
1_R41,0,5.13,28.21,0,41.03,0,25.64,1,R41
1_R5,8.57,5.71,65.71,0,20,0,0,1,R5
1_yc1,0,13.33,80,0,6.67,0,0,1,yc1
1_yc2,0,14.29,53.57,3.57,28.57,0,0,1,yc2
2_HE,0,18.18,50,4.55,27.27,0,0,2,HE
2_PLF,0,24.24,69.7,0,6.06,0,0,2,PLF
2_R10,0,0,55.56,0,44.44,0,0,2,R10
2_R18,0,7.69,50,0,42.31,0,0,2,R18
2_R25,0,7.41,8.64,0,59.26,4.94,19.75,2,R25
2_R29,0,0,13.64,0,54.55,0,31.82,2,R29
2_R41,0,0,18.6,2.33,58.14,0,20.93,2,R41
2_R5,0,12,72,0,16,0,0,2,R5
2_yc1,0,33.33,60.87,1.45,4.35,0,0,2,yc1
2_yc2,8.7,17.39,60.87,0,13.04,0,0,2,yc2
3_HE,0,6.25,43.75,0,50,0,0,3,HE
3_PLF,0,72.41,17.24,3.45,6.9,0,0,3,PLF
3_R10,2.7,10.81,62.16,0,24.32,0,0,3,R10
3_R18,0,28.57,34.29,2.86,34.29,0,0,3,R18
3_R25,0,6.56,16.39,0,60.66,1.64,14.75,3,R25
3_R29,0,11.43,25.71,0,48.57,0,14.29,3,R29
3_R41,0,0,22.06,0,57.35,0,20.59,3,R41
3_R5,0,5.26,76.32,2.63,15.79,0,0,3,R5
3_yc1,0,46.15,34.62,3.85,15.38,0,0,3,yc1
3_yc2,0,32.43,45.95,0,18.92,0,2.7,3,yc2
4_HE,8,8,52,4,28,0,0,4,HE
4_PLF,0,67.86,25,0,7.14,0,0,4,PLF
4_R10,7.69,26.92,50,3.85,11.54,0,0,4,R10
4_R18,0,4,48,0,48,0,0,4,R18
4_R25,0,0,24.19,0,59.68,0,16.13,4,R25
4_R29,0,0,15.79,0,57.89,0,26.32,4,R29
4_R41,0,0,8.7,0,34.78,0,56.52,4,R41
4_R5,0,13.33,73.33,3.33,10,0,0,4,R5
4_yc1,1.92,5.77,57.69,0,34.62,0,0,4,yc1
4_yc2,13.64,13.64,54.55,0,13.64,0,4.55,4,yc2
5_HE,3.57,0,64.29,0,32.14,0,0,5,HE
5_PLF,5.26,31.58,52.63,2.63,7.89,0,0,5,PLF
5_R10,0,31.82,27.27,0,40.91,0,0,5,R10
5_R18,0,4.55,22.73,0,72.73,0,0,5,R18
5_R25,0,0,20.75,0,41.51,7.55,30.19,5,R25
5_R29,0,8.7,34.78,0,56.52,0,0,5,R29
5_R41,0,0,2.56,0,53.85,0,43.59,5,R41
5_R5,0,8.11,62.16,0,29.73,0,0,5,R5
5_yc1,2.33,23.26,46.51,1.16,26.74,0,0,5,yc1
5_yc2,0,41.18,38.24,0,20.59,0,0,5,yc2